"id"	"subject"	"difficulty"	"question"	"answer"	"split"
"Q-000133"	"Chemistry"	"4"	"Is the ""island of stability"" for superheavy elements reachable with current technology?"	"Unanswerable"	"train"
"Q-000134"	"Chemistry"	"4"	"Does a fifth state of matter beyond plasma definitively exist?"	"Unanswerable"	"train"
"Q-000135"	"Chemistry"	"4"	"Is there a complete and predictive theory of catalysis?"	"No"	"train"
"Q-000136"	"Chemistry"	"5"	"Is the Schrödinger equation fundamental to quantum mechanics?"	"Yes"	"train"
"Q-000137"	"Chemistry"	"5"	"Is a carbocation an ion containing a positively charged carbon atom?"	"Yes"	"train"
"Q-000138"	"Chemistry"	"5"	"Is the Diels-Alder reaction a type of pericyclic reaction?"	"Yes"	"dev"
"Q-000139"	"Chemistry"	"5"	"Is a Grignard reagent a type of organomagnesium compound?"	"Yes"	"train"
"Q-000140"	"Chemistry"	"5"	"Is spectroscopy the study of matter's interaction with electromagnetic radiation?"	"Yes"	"train"
"Q-000141"	"Chemistry"	"5"	"Are London dispersion forces a type of covalent bond?"	"No"	"train"
"Q-000142"	"Chemistry"	"5"	"Is a zwitterion a molecule with a net positive charge?"	"No"	"train"
"Q-000143"	"Chemistry"	"5"	"Is a radical species characterized by having only paired electrons?"	"No"	"train"
"Q-000144"	"Chemistry"	"5"	"Do the Woodward-Hoffmann rules apply only to thermal reactions?"	"No"	"dev"
"Q-000145"	"Chemistry"	"5"	"Are molecular orbitals formed independently of atomic orbitals?"	"No"	"train"
"Q-000146"	"Chemistry"	"5"	"Can a molecule with a true triple bond between two silicon atoms be synthesized?"	"Unanswerable"	"train"
"Q-000147"	"Chemistry"	"5"	"Is there a definitive upper limit to the periodic table of elements?"	"Unanswerable"	"train"
"Q-000148"	"Chemistry"	"5"	"Is the exact mechanism of metallic bonding universally agreed upon?"	"No"	"dev"
"Q-000149"	"Chemistry"	"5"	"Can a chemical reaction proceed faster than allowed by transition state theory?"	"Yes"	"train"
"Q-000150"	"Chemistry"	"5"	"Is there a universally accepted definition of an aromatic compound?"	"No"	"train"
"Q-000151"	"Physics"	"1"	"Is gravity the force that pulls objects toward Earth?"	"Yes"	"train"
"Q-000152"	"Physics"	"1"	"Is light a form of energy?"	"Yes"	"train"
"Q-000153"	"Physics"	"1"	"Is the neutron an electrically neutral particle?"	"Yes"	"dev"
"Q-000154"	"Physics"	"1"	"Does a typical bar magnet have a north and a south pole?"	"Yes"	"train"
"Q-000155"	"Physics"	"1"	"Is sound a vibration that travels through a medium?"	"Yes"	"train"
"Q-000156"	"Physics"	"1"	"Does an electron have more mass than a proton?"	"No"	"train"
"Q-000157"	"Physics"	"1"	"Is friction a force that speeds up motion between surfaces?"	"No"	"dev"
"Q-000158"	"Physics"	"1"	"Does heat naturally flow from a colder object to a hotter one?"	"No"	"train"
"Q-000159"	"Physics"	"1"	"Is a shadow a form of matter?"	"No"	"train"
"Q-000160"	"Physics"	"1"	"In electronics, is voltage the same as current?"	"No"	"train"
"Q-000161"	"Physics"	"1"	"Is the universe infinitely old?"	"No"	"train"
"Q-000162"	"Physics"	"1"	"Does time travel to the past violate known laws of physics?"	"Unanswerable"	"train"
"Q-000163"	"Physics"	"1"	"Is there a theory of everything that is experimentally verified?"	"No"	"dev"
"Q-000164"	"Physics"	"1"	"Is iron heavier than hay?"	"Unanswerable"	"train"
"Q-000165"	"Physics"	"1"	"Is the speed of light a type of sound?"	"No"	"train"
"Q-000166"	"Physics"	"2"	"Is acceleration the rate of change of velocity?"	"Yes"	"train"
"Q-000167"	"Physics"	"2"	"Is energy conserved in any isolated system?"	"Yes"	"train"
"Q-000168"	"Physics"	"2"	"Is momentum calculated as the product of mass and velocity?"	"Yes"	"train"
"Q-000169"	"Physics"	"2"	"Is the frequency of a wave the number of cycles per second?"	"Yes"	"dev"
"Q-000170"	"Physics"	"2"	"Is nuclear fusion the process that powers stars like the Sun?"	"Yes"	"train"
"Q-000171"	"Physics"	"2"	"Is a vector quantity defined by magnitude alone?"	"No"	"train"
"Q-000172"	"Physics"	"2"	"Is Ohm a unit of electric current?"	"No"	"train"
"Q-000173"	"Physics"	"2"	"Does a black hole possess zero gravity?"	"No"	"train"
"Q-000174"	"Physics"	"2"	"In an inertial frame, is centrifugal force a real force?"	"No"	"dev"
"Q-000175"	"Physics"	"2"	"Is nuclear fission the merging of atomic nuclei?"	"No"	"train"
"Q-000176"	"Physics"	"2"	"Is the universe spatially infinite?"	"Unanswerable"	"dev"
"Q-000177"	"Physics"	"2"	"Is the ""arrow of time"" a fundamental law of physics?"	"Unanswerable"	"train"
"Q-000178"	"Physics"	"2"	"Is spacetime continuous or discrete at the smallest scales?"	"Unanswerable"	"train"
"Q-000179"	"Physics"	"2"	"Is dark matter composed of axions?"	"Unanswerable"	"train"
"Q-000180"	"Physics"	"2"	"Is there a preferred or special direction in the universe?"	"No"	"train"
"Q-000181"	"Physics"	"3"	"Is the speed of light in a vacuum a universal constant?"	"Yes"	"train"
"Q-000182"	"Physics"	"3"	"Is a photon a quantum of the electromagnetic field?"	"Yes"	"train"
"Q-000183"	"Physics"	"3"	"Does the strong nuclear force hold atomic nuclei together?"	"Yes"	"train"
"Q-000184"	"Physics"	"3"	"Is a quark a fundamental constituent of matter?"	"Yes"	"dev"
"Q-000185"	"Physics"	"3"	"Is a superconductor a material with zero electrical resistance?"	"Yes"	"train"
"Q-000186"	"Physics"	"3"	"Is special relativity primarily a theory of gravity?"	"No"	"dev"
"Q-000187"	"Physics"	"3"	"In a transverse wave, are oscillations parallel to the energy transfer direction?"	"No"	"train"
"Q-000188"	"Physics"	"3"	"Is a beta particle a type of photon?"	"No"	"train"
"Q-000189"	"Physics"	"3"	"Is the Doppler effect only applicable to sound waves?"	"No"	"train"
"Q-000190"	"Physics"	"3"	"Is a Bose-Einstein condensate a state of matter found at high temperatures?"	"No"	"train"
"Q-000191"	"Physics"	"3"	"Does the hypothesized graviton particle mediate the force of gravity?"	"Unanswerable"	"dev"
"Q-000192"	"Physics"	"3"	"Is the universe finite or infinite in extent?"	"Unanswerable"	"train"
"Q-000193"	"Physics"	"3"	"Is the wave function of a particle a real physical entity?"	"Unanswerable"	"train"
"Q-000194"	"Physics"	"3"	"Did the universe exist before the Big Bang?"	"Unanswerable"	"train"
"Q-000195"	"Physics"	"3"	"Is there a universe with more antimatter than matter?"	"Unanswerable"	"train"
"Q-000196"	"Physics"	"4"	"Are the W and Z bosons the mediators of the weak nuclear force?"	"Yes"	"train"
"Q-000197"	"Physics"	"4"	"Is a black body a perfect absorber and emitter of radiation?"	"Yes"	"train"
"Q-000198"	"Physics"	"4"	"Is the equivalence principle a key concept in general relativity?"	"Yes"	"train"
"Q-000199"	"Physics"	"4"	"Is a fermion a particle with half-integer spin?"	"Yes"	"dev"
"Q-000200"	"Physics"	"4"	"Is the Casimir effect a result of quantum vacuum fluctuations?"	"Yes"	"train"
"Q-000201"	"Physics"	"4"	"Does the Heisenberg uncertainty principle arise from measurement limitations?"	"No"	"train"
"Q-000202"	"Physics"	"4"	"Has a magnetic monopole ever been experimentally confirmed?"	"No"	"train"
"Q-000203"	"Physics"	"4"	"Is a Feynman diagram a literal depiction of a physical process?"	"No"	"train"
"Q-000204"	"Physics"	"4"	"Is a phonon a quantum of electromagnetic radiation?"	"No"	"dev"
"Q-000205"	"Physics"	"4"	"In general relativity, is spacetime a static, fixed background?"	"No"	"train"
"Q-000206"	"Physics"	"4"	"Is string theory a scientifically testable theory with current technology?"	"No"	"dev"
"Q-000207"	"Physics"	"4"	"Is there a complete and consistent quantum theory of gravity?"	"No"	"train"
"Q-000208"	"Physics"	"4"	"Is the many-worlds interpretation of quantum mechanics objectively correct?"	"Unanswerable"	"train"
"Q-000209"	"Physics"	"4"	"Does a fundamental, indivisible length scale exist in the universe?"	"Unanswerable"	"train"
"Q-000210"	"Physics"	"4"	"Is the universe a holographic projection?"	"Unanswerable"	"train"
"Q-000211"	"Physics"	"5"	"Is the Dirac delta a distribution rather than an ordinary function?"	"Yes"	"train"
"Q-000212"	"Physics"	"5"	"Is the fundamental group of the 2-sphere trivial?"	"Yes"	"train"
"Q-000213"	"Physics"	"5"	"Does Noether's theorem link symmetries to conservation laws?"	"Yes"	"train"
"Q-000214"	"Physics"	"5"	"Is a Lagrangian a function of a system's generalized coordinates and velocities?"	"Yes"	"train"
"Q-000215"	"Physics"	"5"	"Is a Hilbert space an inner product space that is also a complete metric space?"	"Yes"	"dev"
"Q-000216"	"Physics"	"5"	"Is a quantum field theory a non-relativistic theory?"	"No"	"train"
"Q-000217"	"Physics"	"5"	"Is the Ricci tensor a measure of a manifold's volume change?"	"Yes"	"dev"
"Q-000218"	"Physics"	"5"	"Is a Lie group a non-differentiable manifold?"	"No"	"train"
"Q-000219"	"Physics"	"5"	"Is a path integral a sum over a single, definite path of a particle?"	"No"	"train"
"Q-000220"	"Physics"	"5"	"Is a spinor a representation of the Galilean group?"	"No"	"train"
"Q-000221"	"Physics"	"5"	"Is M-theory the final, unified theory of all string theories?"	"Unanswerable"	"dev"
"Q-000222"	"Physics"	"5"	"Is the universe a computer simulation?"	"Unanswerable"	"train"
"Q-000223"	"Physics"	"5"	"Does a ""final theory"" of physics exist?"	"Unanswerable"	"train"
"Q-000224"	"Physics"	"5"	"Is consciousness a purely quantum mechanical phenomenon?"	"Unanswerable"	"train"
"Q-000225"	"Physics"	"5"	"Does a physical reality exist independently of observation?"	"Unanswerable"	"train"
"Q-000226"	"Earth"	"1"	"Is the Earth the third planet from the Sun?"	"Yes"	"train"
"Q-000227"	"Earth"	"1"	"Is the majority of the Earth's surface covered by water?"	"Yes"	"train"
"Q-000228"	"Earth"	"1"	"Is a volcano a mountain that can erupt with lava?"	"Yes"	"train"
"Q-000229"	"Earth"	"1"	"Is the Earth's core primarily composed of iron?"	"Yes"	"dev"
"Q-000230"	"Earth"	"1"	"Is a river a large body of flowing water?"	"Yes"	"train"
"Q-000231"	"Earth"	"1"	"Is the Moon a planet in our solar system?"	"No"	"train"
"Q-000232"	"Earth"	"1"	"Is the Earth a perfect sphere?"	"No"	"dev"
"Q-000233"	"Earth"	"1"	"Is a desert defined by its high temperatures?"	"No"	"train"
"Q-000234"	"Earth"	"1"	"Is a glacier a large body of salt water?"	"No"	"train"
"Q-000235"	"Earth"	"1"	"Is the sky green under normal daytime conditions?"	"No"	"train"
"Q-000236"	"Earth"	"1"	"Does intelligent life exist on other planets?"	"Unanswerable"	"dev"
"Q-000237"	"Earth"	"1"	"Will the next major earthquake hit California in 2031?"	"Unanswerable"	"train"
"Q-000238"	"Earth"	"1"	"Is there a precise center of the universe?"	"No"	"train"
"Q-000239"	"Earth"	"1"	"Is the Earth the only planet with any form of life?"	"Unanswerable"	"train"
"Q-000240"	"Earth"	"1"	"Is there a largest ocean on Earth?"	"Yes"	"train"
"Q-000241"	"Earth"	"2"	"Is Mount Everest the highest mountain above sea level on Earth?"	"Yes"	"train"
"Q-000242"	"Earth"	"2"	"Is the Earth's atmosphere composed mostly of nitrogen?"	"Yes"	"train"
"Q-000243"	"Earth"	"2"	"Is a tectonic plate a large segment of the Earth's lithosphere?"	"Yes"	"dev"
"Q-000244"	"Earth"	"2"	"Is a fossil the preserved remains of an ancient organism?"	"Yes"	"train"
"Q-000245"	"Earth"	"2"	"Can a tsunami be caused by an undersea earthquake?"	"Yes"	"train"
"Q-000246"	"Earth"	"2"	"Do stalactites grow upwards from the floor of a cave?"	"No"	"train"
"Q-000247"	"Earth"	"2"	"Is the mantle the outermost layer of the Earth?"	"No"	"dev"
"Q-000248"	"Earth"	"2"	"Is a hurricane the same type of storm as a tornado?"	"No"	"train"
"Q-000249"	"Earth"	"2"	"Is a mineral classified as a living organism?"	"No"	"train"
"Q-000250"	"Earth"	"2"	"Does a lunar eclipse occur when the Moon blocks the Sun?"	"No"	"train"
"Q-000251"	"Earth"	"2"	"Can earthquakes be accurately predicted days in advance?"	"No"	"train"
"Q-000252"	"Earth"	"2"	"Is the Earth's inner core a perfect, uniform sphere?"	"No"	"dev"
"Q-000253"	"Earth"	"2"	"Can climate models predict weather with perfect accuracy?"	"No"	"train"
"Q-000254"	"Earth"	"2"	"Is the current biodiversity crisis a sixth mass extinction event?"	"Unanswerable"	"train"
"Q-000255"	"Earth"	"2"	"Is the Earth's supply of fresh water infinite?"	"No"	"train"
"Q-000256"	"Earth"	"3"	"Is the rock cycle a continuous process of rock transformation?"	"Yes"	"train"
"Q-000257"	"Earth"	"3"	"Is the Coriolis effect a result of the Earth's rotation?"	"Yes"	"train"
"Q-000258"	"Earth"	"3"	"Is a seismograph an instrument used to measure earthquakes?"	"Yes"	"dev"
"Q-000259"	"Earth"	"3"	"Is a watershed an area of land that drains into a common body of water?"	"Yes"	"train"
"Q-000260"	"Earth"	"3"	"Is a geyser an intermittently erupting hot spring?"	"Yes"	"train"
"Q-000261"	"Earth"	"3"	"Is the troposphere the highest layer of the atmosphere?"	"No"	"train"
"Q-000262"	"Earth"	"3"	"Is a sedimentary rock formed directly from cooled lava?"	"No"	"dev"
"Q-000263"	"Earth"	"3"	"Is a cirrus cloud a low-level, puffy cloud formation?"	"No"	"train"
"Q-000264"	"Earth"	"3"	"Is a caldera a type of active volcano?"	"No"	"train"
"Q-000265"	"Earth"	"3"	"Is a moraine a landform created by wind erosion?"	"No"	"train"
"Q-000266"	"Earth"	"3"	"Is the Earth's magnetic field a perfect dipole?"	"No"	"dev"
"Q-000267"	"Earth"	"3"	"Is there a single, definitive cause for the Younger Dryas cooling event?"	"No"	"train"
"Q-000268"	"Earth"	"3"	"Is the Earth's crust of uniform thickness?"	"No"	"train"
"Q-000269"	"Earth"	"3"	"Was the formation of the Grand Canyon caused by a single event?"	"No"	"train"
"Q-000270"	"Earth"	"3"	"Is there a definitive source of the Nile River?"	"No"	"train"
"Q-000271"	"Earth"	"4"	"Do Milankovitch cycles describe climate changes from Earth's orbital variations?"	"Yes"	"train"
"Q-000272"	"Earth"	"4"	"Is isostasy the state of gravitational equilibrium between crust and mantle?"	"Yes"	"train"
"Q-000273"	"Earth"	"4"	"Is karst topography formed from the dissolution of soluble rocks?"	"Yes"	"dev"
"Q-000274"	"Earth"	"4"	"Is a transform fault a type of strike-slip fault?"	"Yes"	"train"
"Q-000275"	"Earth"	"4"	"Is a turbidity current an underwater flow of sediment-laden water?"	"Yes"	"train"
"Q-000276"	"Earth"	"4"	"Is the Wilson cycle the process of continent formation?"	"No"	"dev"
